,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
145,2021-09-20,47253.2,47353.82,39603.22,43207.18,17853.841424,2021-09-26 23:59:59.999,766575636.9408565,373256,7938.281962,341081871.51543593,0
146,2021-09-27,43192.61,49399.99,40761.01,48220.0,11145.41959,2021-10-03 23:59:59.999,491818214.1401623,262338,5971.99952,262343563.7753363,0
147,2021-10-04,48214.74,56571.07,46933.6,54683.46,9979.714836,2021-10-10 23:59:59.999,529054238.4209465,304166,4799.914343,254575484.91680807,0
148,2021-10-11,54676.28,62888.0,53960.0,61535.05,13137.428446,2021-10-17 23:59:59.999,768806519.3455039,370925,6511.1303,381366497.6079473,0
149,2021-10-18,61546.25,66999.0,59200.0,60861.3,13729.545836,2021-10-24 23:59:59.999,863128500.4374108,395305,7056.557354,443047886.67467153,0
150,2021-10-25,60868.56,63701.59,57775.0,61333.39,12069.75974,2021-10-31 23:59:59.999,735913379.6972847,411721,5588.51211,340710010.1598057,0
151,2021-11-01,61330.34,64352.05,59433.79,63316.59,10332.75041,2021-11-07 23:59:59.999,638458620.9353408,312177,5053.78398,312196133.1150306,0
152,2021-11-08,63335.52,69000.0,62281.51,65524.48,17426.81515,2021-11-14 23:59:59.999,1144138258.4849565,478680,8004.89194,524018307.382248,0
153,2021-11-15,65524.48,66381.19,55640.76,58652.71,15100.88843,2021-11-21 23:59:59.999,905226382.7734404,383402,7262.95241,435547018.0064606,0
154,2021-11-22,58656.8,59506.54,53295.0,57310.86,10181.9701,2021-11-28 23:59:59.999,574173257.1185575,313003,4744.08132,267609842.3576487,0
155,2021-11-29,57316.51,59206.01,42220.0,49462.25,14725.96756,2021-12-05 23:59:59.999,777223578.5131083,432047,7209.7018,379699355.6723027,0
156,2021-12-06,49467.32,51988.78,46745.65,50102.38,12024.95124,2021-12-12 23:59:59.999,592405423.2690382,314052,5901.51376,290678359.1202292,0
157,2021-12-13,50085.1,50217.36,45453.27,46706.64,9639.81638,2021-12-19 23:59:59.999,457869603.8439348,254285,4786.79036,227394259.8890791,0
